taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,version,pangolin_version,pangoLEARN_version,pango_version,status,note
MN908947_3,B,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-SI2010697-NST/2020|EPI_ISL_1296442|2020-03-29,B.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-SI2010772-NT/2020|EPI_ISL_1296446|2020-03-29,B.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-0025/2020|EPI_ISL_429164|2020-03-13,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-0026/2020|EPI_ISL_429165|2020-03-13,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-0028/2020|EPI_ISL_429166|2020-03-13,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-0029/2020|EPI_ISL_429167|2020-03-13,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-0033/2020|EPI_ISL_429169|2020-03-17,B.1.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-0034/2020|EPI_ISL_429170|2020-03-17,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-0035/2020|EPI_ISL_429171|2020-03-18,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-0036/2020|EPI_ISL_429172|2020-03-21,B.1.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-0037/2020|EPI_ISL_429173|2020-03-21,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-0038/2020|EPI_ISL_429174|2020-03-25,B.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-0039/2020|EPI_ISL_429175|2020-03-28,B.4,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-0040/2020|EPI_ISL_429176|2020-03-28,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-0041/2020|EPI_ISL_429177|2020-03-28,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-0042/2020|EPI_ISL_429178|2020-03-28,B.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-0043/2020|EPI_ISL_429179|2020-03-28,B.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-0044/2020|EPI_ISL_429180|2020-03-28,B.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-0045/2020|EPI_ISL_429181|2020-03-28,B.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-0046/2020|EPI_ISL_429182|2020-03-28,B.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-0047/2020|EPI_ISL_429183|2020-03-28,B.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-0048/2020|EPI_ISL_429184|2020-03-28,B.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/NIH-2420/2020|EPI_ISL_434700|2020-03-13,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/NIH-2472/2020|EPI_ISL_434701|2020-03-14,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/NIH-2489/2020|EPI_ISL_434703|2020-03-14,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/NIH-2492-2/2020|EPI_ISL_434704|2020-03-17,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/NIH-2720/2020|EPI_ISL_434705|2020-03-16,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/NIH-2721/2020|EPI_ISL_434706|2020-03-16,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/NIH-2982-2/2020|EPI_ISL_434708|2020-03-18,B.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-0054/2020|EPI_ISL_446996|2020-03-28,B.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-0055/2020|EPI_ISL_446997|2020-03-28,B.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok_168/2020|EPI_ISL_450196|2020-01-23,B,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Nonthaburi_2520/2020|EPI_ISL_450197|2020-03-14,B.1.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok_2295/2020|EPI_ISL_455624|2020-03-12,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
